Device_id,Time,SensorLocation,LatLong,MinimumWindDirection,AverageWindDirection,MaximumWindDirection,MinimumWindSpeed,AverageWindSpeed,GustWindSpeed,AirTemperature,RelativeHumidity,AtmosphericPressure,PM25,PM10,Noise
aws5-0999,2024-06-26T02:41:57+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,98.0,179.0,0.6,0.0,1.0,10.8,70.4,1010.0,,,
ICTMicroclimate-08,2024-06-26T01:15:16+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,235.0,320.0,0.0,0.6,2.8,11.7,59.5,1011.9,4.0,7.0,60.8
ICTMicroclimate-09,2024-06-26T02:53:28+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,355.0,359.0,0.0,0.9,4.2,11.7,59.0,1010.9,0.0,0.0,59.0
ICTMicroclimate-06,2024-06-26T03:09:49+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,5.0,359.0,0.0,2.8,6.1,11.9,57.8,1012.1,5.0,5.0,56.8
ICTMicroclimate-03,2024-06-26T03:11:17+10:00,CH1 rooftop,"-37.8140348, 144.96728",321.0,333.0,321.0,1.6,0.7,1.6,11.6,62.5,1006.5,3.0,5.0,68.6
aws5-0999,2024-06-26T03:11:11+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,22.0,351.0,0.1,0.0,0.5,10.1,72.4,1009.9,,,
ICTMicroclimate-08,2024-06-26T03:15:32+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,352.0,359.0,0.0,0.3,4.5,12.1,56.2,1012.1,4.0,7.0,58.3
ICTMicroclimate-07,2024-06-26T03:26:34+10:00,Tram Stop 7C - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8222341, 144.9829409",0.0,312.0,359.0,0.0,0.9,4.9,11.8,58.1,1014.3,1.0,3.0,64.2
ICTMicroclimate-09,2024-06-26T03:38:34+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,303.0,357.0,0.0,0.5,3.0,11.8,57.7,1010.9,0.0,0.0,59.4
ICTMicroclimate-06,2024-06-26T03:39:53+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,53.0,358.0,0.0,1.5,4.3,11.4,60.2,1012.1,5.0,5.0,60.7
aws5-0999,2024-06-26T03:41:12+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,138.0,179.0,0.5,0.0,1.2,9.9,74.6,1010.0,,,
ICTMicroclimate-02,2024-06-26T03:47:48+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",102.0,136.0,161.0,1.1,2.3,3.9,11.9,63.9,1007.4,2.0,4.0,69.6
ICTMicroclimate-01,2024-06-26T04:05:05+10:00,Birrarung Marr Park - Pole 1131,"-37.8185931, 144.9716404",,133.0,,,0.3,,10.3,70.300003,1011.599976,1.0,4.0,47.599998
ICTMicroclimate-08,2024-06-26T04:15:39+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,338.0,359.0,0.0,1.3,5.2,11.5,60.3,1012.1,4.0,7.0,59.6
ICTMicroclimate-07,2024-06-26T04:11:40+10:00,Tram Stop 7C - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8222341, 144.9829409",0.0,345.0,358.0,0.0,1.0,3.4,11.3,61.9,1014.1,1.0,3.0,59.0
ICTMicroclimate-03,2024-06-26T04:26:28+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,340.0,345.0,0.7,0.9,2.1,11.1,68.3,1006.5,2.0,4.0,72.1
ICTMicroclimate-06,2024-06-26T04:24:58+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,57.0,357.0,0.0,1.7,6.2,11.2,63.1,1012.3,1.0,1.0,63.8
ICTMicroclimate-01,2024-06-26T04:20:07+10:00,Birrarung Marr Park - Pole 1131,"-37.8185931, 144.9716404",,138.0,,,0.4,,10.1,71.199997,1011.700012,0.0,3.0,47.5
ICTMicroclimate-06,2024-06-26T04:40:00+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,27.0,357.0,0.0,1.8,4.6,11.1,64.0,1012.3,1.0,1.0,59.2
aws5-0999,2024-06-26T04:40:24+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,35.0,104.0,0.2,0.0,0.5,10.1,74.7,1010.0,,,
ICTMicroclimate-09,2024-06-26T04:53:43+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,1.0,359.0,0.0,1.1,4.7,11.6,60.4,1011.3,0.0,0.0,65.3
ICTMicroclimate-07,2024-06-26T04:56:46+10:00,Tram Stop 7C - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8222341, 144.9829409",0.0,281.0,357.0,0.0,1.2,3.9,11.0,64.4,1014.7,1.0,3.0,58.5
aws5-0999,2024-06-26T04:55:26+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,84.0,314.0,0.6,0.0,3.0,10.1,74.6,1010.4,,,
ICTMicroclimate-08,2024-06-26T05:00:45+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,314.0,359.0,0.0,0.7,4.3,11.3,61.6,1012.7,4.0,7.0,59.0
ICTMicroclimate-02,2024-06-26T05:02:58+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",113.0,136.0,184.0,0.8,2.8,3.9,11.3,69.5,1008.0,1.0,3.0,70.2
ICTMicroclimate-03,2024-06-26T05:11:33+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,356.0,355.0,0.6,1.4,3.1,10.8,69.7,1007.3,1.0,3.0,68.5
aws5-0999,2024-06-26T05:11:02+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,39.0,179.0,0.3,0.0,1.2,10.1,75.0,1010.7,,,
ICTMicroclimate-01,2024-06-26T05:05:07+10:00,Birrarung Marr Park - Pole 1131,"-37.8185931, 144.9716404",,124.0,,,0.8,,10.1,73.0,1012.299988,0.0,3.0,47.799999
ICTMicroclimate-06,2024-06-26T05:25:06+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,11.0,359.0,0.0,2.0,5.0,11.2,63.2,1012.9,1.0,1.0,77.7
ICTMicroclimate-02,2024-06-26T05:18:01+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",110.0,143.0,195.0,1.1,4.1,7.2,11.3,68.8,1008.1,1.0,3.0,78.3
ICTMicroclimate-02,2024-06-26T05:33:02+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",85.0,142.0,184.0,0.9,2.6,5.9,11.1,70.4,1007.7,1.0,3.0,78.2
ICTMicroclimate-07,2024-06-26T05:41:52+10:00,Tram Stop 7C - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8222341, 144.9829409",0.0,302.0,359.0,0.0,1.9,3.8,11.1,64.9,1014.7,1.0,3.0,85.5
ICTMicroclimate-09,2024-06-26T05:53:52+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,37.0,359.0,0.0,1.1,3.7,11.1,64.9,1011.3,0.0,0.0,61.3
ICTMicroclimate-07,2024-06-26T05:56:55+10:00,Tram Stop 7C - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8222341, 144.9829409",0.0,20.0,356.0,0.0,0.4,4.6,11.0,65.3,1014.5,1.0,3.0,57.7
ICTMicroclimate-09,2024-06-26T06:08:53+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,352.0,359.0,0.0,0.4,5.7,11.0,64.8,1011.7,0.0,0.0,62.9
ICTMicroclimate-08,2024-06-26T06:00:55+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,275.0,354.0,0.0,0.6,3.6,11.2,63.6,1012.7,4.0,7.0,75.8
